apple mac_os_x 10.14.6;2224
juniper junos 18.4;1883
juniper junos 17.4;1622
apple mac_os_x 10.15.7;1617
juniper junos 18.2;1465
juniper junos 18.3;1433
juniper junos 15.1;1397
juniper junos 17.3;1263
juniper junos 19.1;1153
juniper junos 18.1;1092
juniper junos 19.3;892
juniper junos 19.2;883
juniper junos 19.4;769
fedoraproject fedora 33;704
fedoraproject fedora 34;652
microsoft windows_10 20h2;559
microsoft windows_10 2004;557
microsoft windows_10 1909;529
microsoft windows_10 1809;511
juniper junos 20.1;495
juniper junos 20.2;489
microsoft windows_server_2019;462
google android 11.0;441
microsoft windows_server_2016 2004;427
microsoft windows_server_2016 20h2;426
apple macos;395
microsoft windows_10;390
microsoft windows_10 1607;388
juniper junos 16.1;386
microsoft windows_server_2016;386
google android 10.0;360
juniper junos 17.2;356
microsoft windows_server_2012;351
debian debian_linux 10.0;333
microsoft windows_8.1;329
microsoft windows_10 21h1;328
apple mac_os_x;327
fedoraproject fedora 35;315
apple iphone_os;314
debian debian_linux 9.0;307
microsoft windows_server_2008 r2;295
microsoft windows_rt_8.1;292
microsoft windows_server_2012 r2;290
microsoft windows_7;277
fedoraproject fedora 32;244
juniper junos 12.3;239
microsoft windows_server_2008;235
google android 9.0;222
microsoft windows_server_2016 1909;218
apple watchos;203
juniper junos 15.1x49;202
debian debian_linux 11.0;201
apple ipados;198
microsoft windows_10 1803;197
apple tvos;192
juniper junos 17.1;182
juniper junos 20.3;171
microsoft windows_11;164
cisco ios_xr;161
vmware esxi 6.7;160
google android 8.1;156
linux linux_kernel;127
huawei emui 11.0.0;121
huawei magic_ui 4.0.0;121
juniper junos 20.4;111
netgear rbr850_firmware;110
qualcomm sdx55_firmware;109
qualcomm wcd9380_firmware;108
netgear rbs850_firmware;108
netgear rbk852_firmware;107
qualcomm wcd9370_firmware;106
qualcomm wcn3998_firmware;106
google android;105
qualcomm wcd9375_firmware;104
apple mac_os_x 10.15.6;102
qualcomm sdx55m_firmware;102
qualcomm wcn3991_firmware;102
fatpipeinc ipvpn_firmware 9.1.2;102
fatpipeinc warp_firmware 9.1.2;102
fatpipeinc mpvpn_firmware 9.1.2;102
qualcomm qca6574au_firmware;101
qualcomm sd675_firmware;101
qualcomm wcn3950_firmware;101
qualcomm wcn3988_firmware;101
qualcomm wcn6850_firmware;101
redhat enterprise_linux 8.0;100
qualcomm qca6391_firmware;100
qualcomm qca6574a_firmware;99
qualcomm wcd9385_firmware;99
microsoft windows_server_2022;99
qualcomm wcn6851_firmware;98
google android 12.0;97
qualcomm aqt1000_firmware;97
qualcomm qca6420_firmware;97
qualcomm qca6430_firmware;97
qualcomm sd855_firmware;97
qualcomm wsa8830_firmware;96
qualcomm wsa8835_firmware;96
qualcomm qca6390_firmware;94
qualcomm wcn6856_firmware;94
qualcomm qca6595au_firmware;93
qualcomm qca6696_firmware;91
qualcomm wsa8815_firmware;91
qualcomm sd678_firmware;90
qualcomm sd870_firmware;90
netgear rbr750_firmware;90
netgear rbs750_firmware;90
qualcomm sa8155p_firmware;87
qualcomm sm6250_firmware;87
qualcomm wsa8810_firmware;87
qualcomm qca6426_firmware;86
qualcomm sd665_firmware;86
qualcomm sd720g_firmware;86
qualcomm wcn6750_firmware;86
huawei emui 10.1.1;86
huawei magic_ui 3.1.1;86
netgear rbk752_firmware;86
qualcomm sa8155_firmware;85
qualcomm sd730_firmware;85
qualcomm sd765_firmware;84
